Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Hassan Ridgeway,10750,HST,47.4,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marken Michel,10980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnstone,10990,LAC,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Lucas,10970,TB,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Countess,10830,LA,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakeem Grant,10820,CLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Janovich,10810,HST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Jackson,10850,HST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Washington,10870,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Matakevich,10880,BUF,42.9,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Leak,10910,HST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Carlisle,10950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadat Sulleyman,11030,DEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
